,nflId,height,weight,birthDate,collegeName,position,displayName,updatedName,nopunctuationname,updatedName2
0,2539334,72,190,1990-09-10,Washington,CB,Desmond Trufant,Desmond Trufant,Desmond Trufant,Desmond Trufant
1,2539653,70,186,1988-11-01,Southeastern Louisiana,CB,Robert Alford,Robert Alford,Robert Alford,Robert Alford
2,2543850,69,186,1991-12-18,Purdue,SS,Ricardo Allen,Ricardo Allen,Ricardo Allen,Ricardo Allen
3,2555162,73,227,1994-11-04,Louisiana State,MLB,Deion Jones,Deion Jones,Deion Jones,Deion Jones
4,2555255,75,232,1993-07-01,Minnesota,OLB,De'Vondre Campbell,De'Vondre Campbell,DeVondre Campbell,De'Vondre Campbell
5,2555543,73,216,1995-07-26,Florida,FS,Keanu Neal,Keanu Neal,Keanu Neal,Keanu Neal
6,2556445,70,211,1992-10-20,Florida,CB,Brian Poole,Brian Poole,Brian Poole,Brian Poole
7,2507763,6-0,200,1986-01-08,Mississippi,WR,Mike Wallace,Mike Wallace,Mike Wallace,Mike Wallace
8,2532842,78,243,1989-01-20,Arizona,QB,Nick Foles,Nick Foles,Nick Foles,Nick Foles
9,2540158,77,250,1990-11-10,Stanford,TE,Zach Ertz,Zach Ertz,Zach Ertz,Zach Ertz
10,2552582,6-0,223,1993-06-15,Boise State,RB,Jay Ajayi,Jay Ajayi,Jay Ajayi,Jay Ajayi
11,2552600,72,198,1993-05-24,Southern California,WR,Nelson Agholor,Nelson Agholor,Nelson Agholor,Nelson Agholor
12,2553502,68,190,1993-04-10,Sacramento State,WR,DeAndre Carter,DeAndre Carter,DeAndre Carter,DeAndre Carter
13,2552301,75,246,1992-07-08,Clemson,DE,Vic Beasley,Vic Beasley Jr,Vic Beasley Jr,Vic Beasley Jr
14,2506467,66,190,1983-06-20,Kansas State,RB,Darren Sproles,Darren Sproles,Darren Sproles,Darren Sproles
15,2557967,73,230,1994-08-09,Louisiana State,OLB,Duke Riley,Duke Riley,Duke Riley,Duke Riley
16,2558184,71,190,1993-06-05,San Diego State,SS,Damontae Kazee,Damontae Kazee,Damontae Kazee,Damontae Kazee
17,2560995,77,256,1995-01-03,South Dakota State,TE,Dallas Goedert,Dallas Goedert,Dallas Goedert,Dallas Goedert
18,2559150,70,220,1994-11-02,Wisconsin,RB,Corey Clement,Corey Clement,Corey Clement,Corey Clement
19,310,76,217,1985-05-17,Boston College,QB,Matt Ryan,Matt Ryan,Matt Ryan,Matt Ryan
20,2495454,75,220,1989-02-08,Alabama,WR,Julio Jones,Julio Jones,Julio Jones,Julio Jones
21,2507828,6-5,268,1987-02-26,UCLA,TE,Logan Paulsen,Logan Paulsen,Logan Paulsen,Logan Paulsen
22,2552453,73,210,1993-04-16,Indiana,RB,Tevin Coleman,Tevin Coleman,Tevin Coleman,Tevin Coleman
