,Acceleration,Age,Agility,Awareness,BC Vision,Block Shedding,Break Sack,Break Tackle,Carrying,Catch In Traffic,Catching,Change of Dir,College,Deep RR,Finesse Moves,Handedness,Height,Hit Power,Impact Blocking,Injury,Jersey #,Juke Move,Jumping,Kick Accuracy,Kick Power,Kick Return,Lead Blocking,Man Coverage,Medium RR,Overall,Pass Block,Pass Block Finesse,Pass Block Power,Play Action,Play Recognition,Position,Power Moves,Press,Pursuit,Release,Run Block,Run Block Finesse,Run Block Power,Short RR,Signing Bonus,Spec Catch,Speed,Spin Move,Stamina,Stiff Arm,Strength,Tackle,Team,Throw Acc Deep,Throw Acc Mid,Throw Acc Short,Throw On The Run,Throw Power,Throw Under Pressure,Total Salary,Toughness,Trucking,Weight,Years Pro,Zone Coverage,birthDate,collegeName,displayName,height,nflId,nopunctuationname_x,nopunctuationname_y,position,updatedName,updatedName2_x,updatedName2_y,weight
0,93,27,97,90,74,59,13,63,54,50,74,73,Washington,13,40,Right,72,42,57,95,21,77,92,25,25,50,17,92,20,93,35,35,35,6,90,CB,30,95,82,15,35,35,35,30," $ 15,000,000.00 ",60,92,69,93,25,60,74,Falcons,6,6,6,6,22,10," $ 54,750,000.00 ",65,15,190,5,93,1990-09-10,Washington,Desmond Trufant,72,2539334,Desmond Trufant,Desmond Trufant,CB,Desmond Trufant,Desmond Trufant,Desmond Trufant,190
1,87,27,71,77,70,33,12,33,74,74,63,48,Wake Forest,34,25,Right,73,20,56,88,40,62,86,32,33,30,77,12,42,66,51,35,38,10,15,FB,30,10,55,67,61,51,54,52, $ -   ,64,75,61,88,75,86,50,Jaguars,10,15,20,10,30,17," $ 790,000.00 ",76,78,246,4,15,1990-09-10,Washington,Desmond Trufant,72,2539334,Desmond Trufant,Tommy Bohanon,CB,Desmond Trufant,Desmond Trufant,Tommy Bohanon,190
2,93,29,94,82,79,57,15,65,64,45,76,75,SE Louisiana,10,35,Right,70,50,54,86,23,84,93,14,15,73,14,86,10,85,35,35,35,6,82,CB,25,81,84,15,35,35,35,20," $ 10,000,000.00 ",64,92,77,92,40,52,58,Falcons,6,6,6,6,29,12," $ 28,800,000.00 ",69,29,186,5,83,1988-11-01,Southeastern Louisiana,Robert Alford,70,2539653,Robert Alford,Robert Alford,CB,Robert Alford,Robert Alford,Robert Alford,186
3,89,26,92,87,82,60,15,75,65,60,75,75,Purdue,10,45,Right,69,59,62,93,37,80,88,42,46,50,17,80,10,84,35,35,35,6,87,FS,35,66,82,20,35,35,35,20, $ -   ,50,89,75,94,35,52,66,Falcons,6,6,6,6,28,20," $ 2,914,000.00 ",84,20,186,4,81,1991-12-18,Purdue,Ricardo Allen,69,2543850,Ricardo Allen,Ricardo Allen,SS,Ricardo Allen,Ricardo Allen,Ricardo Allen,186
4,90,26,92,72,78,35,23,77,68,85,84,81,East Carolina,73,10,Right,70,12,49,92,14,86,87,30,30,72,29,10,75,74,35,20,23,6,20,WR,10,15,35,62,52,30,35,77," $ 480,000.00 ",85,87,85,90,46,63,25,Falcons,6,10,15,10,35,24," $ 2,400,000.00 ",83,59,192,3,25,1991-12-18,Purdue,Ricardo Allen,69,2543850,Ricardo Allen,Justin Hardy,SS,Ricardo Allen,Ricardo Allen,Justin Hardy,186
5,89,26,92,87,82,60,15,75,65,60,75,75,Purdue,10,45,Right,69,59,62,93,37,80,88,42,46,50,17,80,10,84,35,35,35,6,87,FS,35,66,82,20,35,35,35,20, $ -   ,50,89,75,94,35,52,66,Falcons,6,6,6,6,28,20," $ 2,914,000.00 ",84,20,186,4,81,1991-12-18,East Carolina,Justin Hardy,70,2552418,Justin Hardy,Ricardo Allen,WR,Justin Hardy,Justin Hardy,Ricardo Allen,192
6,90,26,92,72,78,35,23,77,68,85,84,81,East Carolina,73,10,Right,70,12,49,92,14,86,87,30,30,72,29,10,75,74,35,20,23,6,20,WR,10,15,35,62,52,30,35,77," $ 480,000.00 ",85,87,85,90,46,63,25,Falcons,6,10,15,10,35,24," $ 2,400,000.00 ",83,59,192,3,25,1991-12-18,East Carolina,Justin Hardy,70,2552418,Justin Hardy,Justin Hardy,WR,Justin Hardy,Justin Hardy,Justin Hardy,192
7,90,23,87,92,32,72,12,14,56,45,63,29,LSU,5,58,Right,73,84,85,87,45,38,85,19,19,10,25,81,5,90,45,43,44,6,92,MLB,51,51,88,18,45,44,44,15," $ 1,500,000.00 ",60,89,32,83,26,73,86,Falcons,6,6,6,6,25,10," $ 4,545,000.00 ",78,27,222,2,88,1994-11-04,Louisiana State,Deion Jones,73,2555162,Deion Jones,Deion Jones,MLB,Deion Jones,Deion Jones,Deion Jones,227
8,92,23,93,67,82,32,22,76,66,78,83,78,North Carolina,72,10,Right,70,29,47,92,15,88,80,20,21,86,27,18,78,74,39,19,20,41,23,WR,10,10,42,68,47,22,29,83," $ 560,000.00 ",82,90,73,95,43,62,33,Raiders,43,47,52,48,58,35," $ 2,923,000.00 ",82,42,181,1,25,1994-11-04,Louisiana State,Deion Jones,73,2555162,Deion Jones,Ryan Switzer,MLB,Deion Jones,Deion Jones,Ryan Switzer,227
9,76,23,68,43,10,69,12,16,30,10,22,21,Northwestern,2,58,Right,75,69,83,86,95,10,68,13,16,12,31,12,3,63,45,45,45,5,43,DT,68,10,77,12,45,45,45,10, $ -   ,12,72,10,75,29,91,78,Packers,5,5,5,5,29,10," $ 1,710,000.00 ",85,10,313,0,22,1994-11-04,Louisiana State,Deion Jones,73,2555162,Deion Jones,Tyler Lancaster,MLB,Deion Jones,Deion Jones,Tyler Lancaster,227
