nflId,height,weight,birthDate,collegeName,officialPosition,displayName,Madden displayName,,College from Madden,Birth Date from Madden,Check College,Check Birth date,,
25511,06-Apr,225,03/08/1977,Michigan,QB,Tom Brady,,,Michigan,03/08/1977,True,True,,True
28963,06-May,240,02/03/1982,"Miami, O.",QB,Ben Roethlisberger,,,Miami Univ.,02/03/1982,False,True,,True
29550,06-Apr,328,22/01/1982,Arkansas,T,Jason Peters,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29851,06-Feb,225,02/12/1983,California,QB,Aaron Rodgers,,,California,02/12/1983,True,True,,True
30078,06-Feb,228,24/11/1982,Harvard,QB,Ryan Fitzpatrick,,,Harvard,24/11/1982,True,True,,True
30842,06-Jun,267,19/05/1984,UCLA,TE,Marcedes Lewis,,,UCLA,19/05/1984,True,True,,True
30869,06-Jul,330,12/12/1981,Louisiana State,T,Andrew Whitworth,,,LSU,12/12/1981,False,True,,True
33084,06-Apr,217,17/05/1985,Boston College,QB,Matt Ryan,,,Boston College,17/05/1985,True,True,,True
33107,06-Apr,315,30/08/1985,Virginia Tech,T,Duane Brown,,,Virginia Tech,30/08/1985,True,True,,True
33130,05-Oct,175,01/12/1986,California,WR,DeSean Jackson,,,California,01/12/1986,True,True,,True
33131,06-Aug,300,01/09/1986,Miami,DE,Calais Campbell,,,Miami,01/09/1986,True,True,,True
33138,06-Mar,222,02/07/1985,Michigan,QB,Chad Henne,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33241,06-Mar,219,05/15/1986,San Diego,QB,Josh Johnson,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33566,05-Nov,185,02/11/1985,Texas Tech,WR,Danny Amendola,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34452,06-Mar,220,07/02/1988,Georgia,QB,Matthew Stafford,,,Georgia,07/02/1988,True,True,,True
34457,06-Apr,330,25/01/1987,Alabama,T,Andre Smith,False,,North Carolina,20/04/1997,False,False,,False
