97,25511,39985,44896,35481,42404
137,43424,45532,52425,42654,52554
187,52554,47873,46150,52425,43424
282,Error,Error,Error,Error,Error
349,46150,43293,43424,37082,46206
410,Error,Error,Error,Error,Error
434,42377,52421,44816,42404,40151
456,25511,42404,44816,41233,40151
480,42377,42404,25511,44816,35481
509,44816,42377,52421,42404,25511
559,Error,Error,Error,Error,Error
583,Error,Error,Error,Error,Error
687,47873,52554,43424,43293,46150
735,43293,52425,46150,37082,43424
764,Error,Error,Error,Error,Error
788,Error,Error,Error,Error,Error
869,46107,25511,42377,35481,52421
925,42404,25511,42377,52421,44816
947,40151,44896,25511,52421,42377
1078,37082,52554,47873,43424,42347
1203,44816,52421,42404,41233,25511
1227,40151,52421,42377,44896,25511
1267,52421,42404,44831,25511,44816
1312,44816,25511,40151,35634,35481
1368,Error,Error,Error,Error,Error
1392,43424,46150,46206,42347,42654
1425,45532,43424,42347,46150,47873
1506,43424,46150,43293,52425,47873
1563,42347,43293,37082,46150,52554
1587,43293,43424,37082,42347,46150
1687,52477,41310,43447,33107,52622
1726,43293,37082,43424,42347,46150
1776,Error,Error,Error,Error,Error
1918,43424,37082,46150,42654,47911
1940,46119,43424,47873,47911,46150
2008,Error,Error,Error,Error,Error
2032,44816,25511,41233,42404,52421
2088,43424,42347,37082,46119,46206
2129,37082,43293,43424,42347,47873
2169,46119,43424,42347,42654,43293
2211,37082,43424,42347,52425,43293
2233,43424,52425,46119,42654,43293
2257,43424,43293,45532,46119,46150
2279,Error,Error,Error,Error,Error
2298,Error,Error,Error,Error,Error
2330,Error,Error,Error,Error,Error
2397,42404,52421,25511,39985,42033
2419,Error,Error,Error,Error,Error
2441,52421,25511,39985,46163,42377
2530,37082,52554,47873,43424,46206
2554,Error,Error,Error,Error,Error
2632,43293,43424,52425,37082,46150
2656,52554,46119,37082,43424,46277
2678,52554,46119,52425,43424,43293
2735,Error,Error,Error,Error,Error
2780,42347,43424,43293,42654,52554
2871,42377,52421,35634,25511,44816
2893,Error,Error,Error,Error,Error
2915,52421,47991,39985,25511,40151
3014,47789,47954,46629,43329,37090
3062,42377,41233,25511,44816,52421
3110,Error,Error,Error,Error,Error
3134,35634,25511,44816,46163,42377
3216,46119,52554,43424,42347,47873
3261,Error,Error,Error,Error,Error
3306,43424,46150,46206,42347,42654
3330,52425,43424,46206,42347,42654
3364,Error,Error,Error,Error,Error
3406,47911,47873,43424,46277,42654
3462,42377,52421,44816,25511,35634
3588,40151,42404,52421,42377,44816
3633,42377,44816,25511,44896,52421
3655,Error,Error,Error,Error,Error
3724,37082,52425,43424,43293,42654
3746,42347,47911,43293,43424,37082
3793,46070,43370,43297,52523,41264
3862,46163,52421,42377,25511,41233
3909,42404,25511,52421,44896,46163
3933,40151,42377,25511,52421,42404
3962,42404,35634,25511,35481,52421
4094,Error,Error,Error,Error,Error
4141,Error,Error,Error,Error,Error
4189,43293,37082,45532,43424,46277
4211,43424,37082,43293,47873,42654
4246,47873,43293,43424,42347,37082
4287,43293,42654,42347,52425,43424
4393,Error,Error,Error,Error,Error
4428,37082,43424,47911,42654,46277
4538,42377,52421,25511,44896,35634
4560,39985,25511,44896,41233,40151
4624,42404,25511,39985,46163,40151
4653,52421,42377,25511,44896,42404
4677,42404,42377,25511,41233,35634
4699,42377,52421,41233,25511,44896
4728,52421,46163,25511,42377,44896
4750,42377,25511,35634,52421,35481
4772,35481,25511,46163,44896,35634
56,Error,Error,Error,Error,Error
122,42469,33084,39975,52486,46094
146,53444,42363,44912,47870,52590
176,46094,33084,42469,53433,41232
231,46263,42469,41232,48374,46095
303,46094,33084,48374,47797,46263
348,42469,33084,41232,47797,52486
370,33084,52486,41232,46263,48374
605,43368,39950,46302,52461,47836
705,39975,33084,41808,37234,41232
750,39975,46094,41232,47797,52486
821,41232,33084,53433,47814,46095
843,Error,Error,Error,Error,Error
864,33084,42469,37234,53433,41232
966,33084,53543,53433,52486,39975
1023,53543,33084,46095,39975,46263
1085,Error,Error,Error,Error,Error
1153,38606,52461,46118,47836,47840
1182,52461,39950,52429,47836,43368
1206,38606,37266,43368,39950,52461
1249,43368,53439,38606,47836,39950
1271,52461,39950,47836,53946,43368
1326,37234,33084,42469,47814,41808
1459,39975,47814,33084,46094,53497
1494,Error,Error,Error,Error,Error
1558,46302,38606,39950,52461,53439
1582,43368,52461,53439,46118,39950
1606,52461,39983,53579,53946,43368
1630,Error,Error,Error,Error,Error
1732,47836,46302,52461,43368,53439
1792,52461,53439,39983,52429,46302
1991,Error,Error,Error,Error,Error
2020,46302,38606,52461,39950,52429
2063,Error,Error,Error,Error,Error
2121,39950,46302,52461,53439,53579
2145,Error,Error,Error,Error,Error
2214,Error,Error,Error,Error,Error
2275,53579,39983,52429,52461,53439
2321,39950,38606,52461,45607,53439
2399,52461,53579,52429,38606,37266
2631,Error,Error,Error,Error,Error
2675,33084,52486,47814,53433,47797
2720,33084,46263,46095,53433,46094
2767,39950,52429,52461,46118,47836
2906,47836,53439,52461,39950,47840
2935,47836,39950,52461,46118,52608
2978,41232,52486,33084,47814,53433
3045,Error,Error,Error,Error,Error
3145,53497,41232,33084,47814,52486
3383,Error,Error,Error,Error,Error
3416,47797,53497,33084,46095,41232
3480,42469,46263,33084,41232,47814
3502,52486,47797,53433,33084,42469
3599,38606,46302,37266,39983,52461
3659,39950,52461,39983,43368,52429
3728,Error,Error,Error,Error,Error
3752,33084,42469,46263,53433,41232
3776,Error,Error,Error,Error,Error
3798,42469,33084,41232,46263,47814
3820,Error,Error,Error,Error,Error
3928,43368,39950,38606,37266,52461
3988,41232,42469,33084,46094,47814
4017,46263,33084,46095,41232,47814
4041,46263,33084,53497,47797,42469
4112,Error,Error,Error,Error,Error
4131,Error,Error,Error,Error,Error
4240,41232,53433,46094,42469,33084
4274,47814,33084,46095,53433,42469
4298,Error,Error,Error,Error,Error
4317,53433,47814,33084,46095,46094
4346,Error,Error,Error,Error,Error
4367,47814,46095,33084,48374,47797
63,44875,46076,44985,42489,38947
111,44985,46076,38947,35521,52536
262,28963,47849,52457,44874,53557
345,Error,Error,Error,Error,Error
406,44875,42489,47879,46076,35521
430,42471,47857,46076,47879,47821
454,47879,46076,38947,35521,44875
476,47879,46076,35521,42489,44875
500,42489,42392,46076,47821,35521
561,44875,47821,42489,42445,46076
589,44875,47857,46076,47879,42471
639,53453,53516,52543,53557,28963
691,52457,46161,28963,53516,53453
762,52536,46076,47857,46689,42392
856,47924,41236,53516,28963,53557
901,46161,28963,41321,52457,53453
997,28963,53557,53453,53516,44874
1058,44875,42489,46076,38947,47857
1087,46076,44875,35521,42489,38947
1148,42392,47857,44875,46689,42489
1172,47857,46076,47879,42445,46689
1234,44874,53453,41236,28963,53516
1300,Error,Error,Error,Error,Error
1367,Error,Error,Error,Error,Error
1393,46076,44985,42392,47821,42489
1422,44874,53453,53516,41321,28963
1446,28963,53453,53557,46161,53516
1486,41321,53557,28963,52457,44874
1548,46076,47857,42489,38947,44875
1572,46076,47857,47879,35521,47821
1605,46076,42392,38947,35521,47879
1629,42392,42471,38947,47821,47857
1653,46076,38947,47857,44875,42489
1710,Error,Error,Error,Error,Error
1746,46076,47857,42489,38947,35521
1808,37101,37255,43302,41246,47838
1870,46076,42489,44985,38947,44875
1951,46076,44875,38947,42489,47857
2126,28963,47849,53453,53557,46161
2209,41321,44874,28963,47849,52457
2302,53453,28963,53516,41321,47849
2362,44875,46076,42489,47857,52536
2392,46076,52536,35521,44875,42471
2414,47857,46076,42489,35521,38947
2438,42489,46076,52536,47857,44875
2483,Error,Error,Error,Error,Error
2547,45186,46076,35521,38947,47821
2590,45186,42392,44875,42489,47879
2612,42489,46076,38947,35521,44875
2634,53516,41321,52543,28963,44874
2709,53557,53453,47849,28963,52457
2731,53516,53453,44874,53484,28963
2828,Error,Error,Error,Error,Error
2850,52543,53516,28963,52457,41321
2912,Error,Error,Error,Error,Error
2936,44875,42489,46076,47857,42445
2983,Error,Error,Error,Error,Error
3004,46076,38947,47857,42489,44875
3049,44875,42392,45186,46076,42489
3165,28963,52457,46161,53453,47849
3219,53557,53453,47849,28963,44874
3312,Error,Error,Error,Error,Error
3346,Error,Error,Error,Error,Error
3431,42392,46076,42489,35521,47879
3584,42392,47821,46076,47857,44875
3709,53453,28963,47849,46129,53557
3756,Error,Error,Error,Error,Error
3799,53557,47849,28963,46161,52457
3878,47849,53453,28963,46129,46161
3967,42445,46076,42392,44875,42489
3989,46076,42489,44875,47857,38947
4011,42392,47821,46076,47857,42489
4033,52536,46076,35521,42471,47857
4074,47821,46076,47879,47857,38947
4103,Error,Error,Error,Error,Error
4156,42392,44875,46076,38947,52536
4180,46076,42489,38947,47821,42392
4209,46076,47857,42392,35521,42445
4233,42489,46076,47857,35521,42471
4266,47821,44875,42392,46076,35521
88,53443,43433,39684,42416,53431
210,53443,43433,39684,53431,46279
394,44882,43808,46072,46093,44876
467,53431,44817,43586,53463,43433
489,Error,Error,Error,Error,Error
602,44876,46072,46093,46170,53555
664,Error,Error,Error,Error,Error
688,44882,44820,44876,46072,46093
815,53431,47969,52419,42428,43586
837,43433,53443,53431,42428,47969
935,37118,47789,43425,52412,44908
957,46072,53488,44820,42362,45785
1021,44820,45785,46072,43808,42362
1074,46072,46093,53555,41436,46170
1113,47995,46072,53512,44820,43808
1241,53431,42428,43586,42416,52419
1297,48657,47969,53431,43586,42428
1319,39684,52419,47969,53431,42428
1350,41436,44820,46072,47995,46170
1419,46093,46072,45594,44876,43808
1441,47995,44876,42362,46072,43808
1497,53431,53536,52419,43433,39684
1519,43586,53536,46279,53431,44817
1543,53443,52419,43586,46279,53431
1596,47969,46279,53431,52419,43586
1620,42416,53431,42428,40149,53463
1696,47995,44820,42362,46072,46093
1752,Error,Error,Error,Error,Error
1774,47969,43586,53431,44817,53463
1798,52419,43586,47969,44817,46279
1885,Error,Error,Error,Error,Error
1909,41436,44882,42362,46072,47995
1943,Error,Error,Error,Error,Error
1967,Error,Error,Error,Error,Error
2153,44820,46170,46072,44876,42362
2196,Error,Error,Error,Error,Error
2261,53431,43586,53463,42416,46279
2283,Error,Error,Error,Error,Error
2345,Error,Error,Error,Error,Error
2367,Error,Error,Error,Error,Error
2428,Error,Error,Error,Error,Error
2457,53555,45594,46072,46170,42362
2481,44820,46093,43808,46072,44876
2503,Error,Error,Error,Error,Error
2543,Error,Error,Error,Error,Error
2586,39684,43433,53431,44817,42428
2662,Error,Error,Error,Error,Error
2684,44820,46072,43808,42362,45785
2797,40149,53431,42428,43433,52419
2821,53431,52419,53536,43433,40149
2883,Error,Error,Error,Error,Error
2949,43433,53431,47904,53463,44817
3075,44820,46072,43808,46093,41436
3376,53463,47969,53431,47904,44817
3398,53431,47969,41295,53463,43586
3420,Error,Error,Error,Error,Error
3490,46170,46072,47995,46093,44882
3512,41436,46072,53555,43808,53488
3536,41436,46072,53512,44820,44876
3606,43433,43586,47969,53431,44817
3635,47969,53431,53463,43586,46279
3675,44817,47969,53431,42428,53463
3699,39684,46279,53431,48657,43586
3723,43586,53463,53431,48657,47969
3745,53431,53536,42428,53463,53443
3767,53431,52467,42428,53443,41295
3791,53431,46279,53443,43433,43586
3843,43586,41295,53431,44817,47969
3889,53431,53463,47969,44817,43586
3914,53180,41222,47808,46101,41230
125,52466,47801,38632,46226,44853
149,44923,52584,40488,52430,46131
223,38632,40488,47976,46131,52466
258,47801,47976,52466,43640,38632
280,38632,52466,44923,40488,44853
405,44860,41262,38553,47794,43344
533,38632,52430,43640,47801,44923
601,Error,Error,Error,Error,Error
620,Error,Error,Error,Error,Error
672,38632,47801,52466,44853,46176
722,Error,Error,Error,Error,Error
765,52466,44923,42397,46131,38632
845,47794,44860,52409,53434,43344
924,44853,52430,38632,46131,52584
1041,Error,Error,Error,Error,Error
1086,40488,38632,47801,46131,44853
1258,46131,47976,52584,38632,52430
1414,44860,53434,52409,43344,38553
1485,Error,Error,Error,Error,Error
1521,Error,Error,Error,Error,Error
1561,52409,53434,44927,52441,43344
1591,41619,52409,44927,52441,42500
1667,Error,Error,Error,Error,Error
1723,44853,38632,52584,46131,52430
1745,Error,Error,Error,Error,Error
1780,52466,46131,47976,42397,38632
1809,Error,Error,Error,Error,Error
1938,Error,Error,Error,Error,Error
2104,44923,38632,52584,52466,47976
2186,47976,43640,46131,38632,52584
2219,38632,52430,42397,46131,52466
2376,41619,43045,52409,43344,53434
2400,52409,42500,52441,41262,38553
2450,43344,52409,53434,43495,47835
2472,52409,42500,43344,53434,41619
2538,52409,42500,53434,41262,52441
2685,42397,52584,38632,47801,46131
2751,52466,47976,46131,44853,52430
2773,44853,46131,38632,52430,40488
2822,Error,Error,Error,Error,Error
2862,43045,38553,41262,41619,52409
