playId,nflId,2nd,3rd,4th,5th,6rd,7th,8th,9rd,10th,11th
187,44908,43329,37118,47954,46071,37090,52412,46629,47789,46090,46103
280,47954,43329,44908,46071,37118,47789,46629,46103,52412,46090,37090
375,46071,47954,44908,37118,43329,47789,46103,52412,46090,37090,46629
590,44908,43329,53449,46071,47959,46629,37090,47789,52412,46090,46103
1117,43329,44908,43425,48475,47959,52412,47789,46103,46090,52551,37090
1343,53449,37118,45255,43329,46071,46090,52551,52412,37090,46103,47789
1516,53449,44908,47959,43329,46071,37090,52412,46090,52551,46103,47789
1594,44908,47954,37118,43329,43425,47789,46090,37090,52551,52412,46103
2161,43329,44908,46071,48475,47959,52412,52551,46103,37090,47789,46090
2185,43329,47954,44908,47959,46071,46090,52551,52412,47789,46103,37090
2253,43329,47954,47959,46071,48475,52551,46090,52412,47789,46103,37090
2354,44908,43329,37118,47954,43425,47789,52551,37090,46090,46103,52412
2378,43329,44908,47954,43425,37118,47789,37090,52551,46103,52412,46090
2624,44908,53449,43329,46071,47959,46103,46090,52551,47789,52412,37090
2752,47954,44908,43329,37118,46071,52412,47789,46103,52551,46090,37090
3061,44908,43329,47954,46071,47959,47789,52551,37090,46090,46103,52412
3085,43329,47959,47954,44908,46071,46103,52551,46090,37090,52412,47789
3185,43329,47954,44908,37118,46071,47789,46103,52551,46090,37090,52412
3204,44908,43329,47954,37118,46071,52551,52412,37090,46090,46103,47789
3567,45255,43329,46071,37118,47959,47789,46103,52551,46090,37090,52412
3654,44908,47954,43329,37118,46071,46090,52412,52551,46103,47789,37090
3883,43329,47954,44908,47959,46071,52551,46090,52412,46103,47789,37090
3905,44908,37118,43329,47954,46071,37090,52551,47789,52412,46090,46103
3950,44908,43329,47954,37118,46071,47789,37090,52551,46103,52412,46090
3972,46071,47954,43329,44908,37118,47789,52551,52412,37090,46090,46103
4183,47954,44908,37118,43329,46071,46103,52551,37090,52412,46090,47789
4489,47834,37079,43556,44975,53065,53063,47865,38538,40124,38629,42402
121,53488,43808,46093,44820,46170,46072,42362,42424,41436,44876,44882
145,43663,44123,53512,53555,46170,42362,44882,44876,46072,41436,42424
241,53098,48415,52666,42356,42344,44844,52432,52513,40023,41532,44879
262,48415,53098,52513,52942,44879,52432,44844,52666,42356,42344,40023
440,43808,46093,46170,53512,44876,53555,44882,42362,46072,41436,42424
499,46093,46170,43808,45785,44820,42424,41436,42362,46072,44876,44882
571,53488,43808,45785,46093,44820,42362,41436,46072,42424,44882,44876
635,48541,53098,44075,44879,52513,52666,52432,40023,44844,42356,42344
659,37737,53098,48541,52513,44879,44844,52666,52432,40023,42356,42344
831,45785,43808,44820,46093,43663,44876,42424,42362,44882,46072,41436
940,43808,44820,46093,45785,46170,42362,41436,46072,44876,42424,44882
975,46093,44820,45785,53488,43808,42424,46072,41436,44876,44882,42362
1024,46093,52858,53512,44820,46170,41436,47995,44876,46072,42362,42424
1155,48541,44075,37737,52513,44879,40023,52666,42356,52432,44844,42344
1224,53098,48415,42437,44879,52762,40023,42356,44844,42344,52666,52432
1273,46140,53488,45785,46093,43808,47995,42362,41436,44876,42424,46072
