playId,nflId,2nd,3rd,4th,5th,6rd,7th,8th,9rd,10th,11th
54,Error,Error,Error,Error,Error
78,45785,46093,43808,53488,44820,41436,42362,42424,47995,46072,44876
100,Error,Error,Error,Error,Error
319,Error,Error,Error,Error,Error
341,43808,46093,53488,44820,46170,42424,47995,42362,46072,41436,44876
365,46093,53488,43808,46170,44820,46072,42362,41436,47995,42424,44876
415,Error,Error,Error,Error,Error
596,42419,41246,45339,46120,46367,41293,53496,47806,43302,47838,37213
620,Error,Error,Error,Error,Error
692,46093,43808,53488,45785,44820,42424,41436,47995,42362,44876,46072
737,45785,46093,53488,44820,43808,42424,47995,46072,44876,41436,42362
838,43808,46093,44820,46170,52858,41436,46072,47995,42362,42424,44876
904,53512,43808,46093,53555,46170,41436,44876,42362,42424,46072,47995
926,46093,43808,44820,52858,46170,42362,42424,46072,41436,44876,47995
971,46093,53512,53488,43808,53555,41436,44876,42362,47995,46072,42424
1023,46093,43808,53488,45785,53555,41436,47995,42424,42362,44876,46072
1068,41246,42419,45339,45321,37101,43302,47806,37213,47838,41293,53496
1213,46120,41246,46167,45339,37101,47806,41293,53496,37213,43302,47838
1359,46093,43808,53555,46170,42424,44876,41436,47995,53512,46072,42362
1395,46093,43808,53488,53555,45785,44876,41436,42362,47995,46072,42424
1511,Error,Error,Error,Error,Error
1530,41246,46120,42419,46167,40138,53496,43302,47838,41293,37213,47806
1573,45785,43808,46093,53488,53555,44876,46072,42362,41436,42424,47995
1595,45785,46093,43808,53488,46140,42424,42362,44876,41436,47995,46072
1697,41246,42419,46167,46120,42429,43302,47838,47806,41293,37213,53496
1721,41246,42419,46120,46167,42429,53496,41293,43302,47806,47838,37213
1766,41246,42419,46167,46120,42429,53496,41293,43302,47806,47838,37213
1812,46167,41246,46120,42419,42429,41293,43302,47838,47806,53496,37213
1853,46120,42419,41246,46167,42429,41293,53496,43302,47806,47838,37213
1904,46093,43808,45785,53488,53555,42424,41436,42362,44876,46072,47995
1945,43808,46093,53488,45785,53555,41436,42362,44876,47995,42424,46072
2015,41246,42419,46167,45339,37101,41293,37213,47806,53496,43302,47838
2037,42419,41246,46120,46367,45339,53496,47838,43302,47806,41293,37213
2084,Error,Error,Error,Error,Error
2108,Error,Error,Error,Error,Error
2132,41246,42429,45339,42419,46120,47838,53496,41293,37213,43302,47806
2175,46120,41246,42419,46167,40138,53496,43302,47806,37213,41293,47838
2233,41246,46120,37101,45339,46167,41293,47838,53496,47806,37213,43302
2266,Error,Error,Error,Error,Error
2292,46120,42419,41246,46167,42429,47806,43302,37213,47838,53496,41293
2377,43808,46093,45785,53488,53555,42362,44876,42424,47995,46072,41436
2422,Error,Error,Error,Error,Error
2476,Error,Error,Error,Error,Error
2524,44123,43663,53512,46170,46140,42362,41436,42424,44876,46072,47995
2643,Error,Error,Error,Error,Error
2713,Error,Error,Error,Error,Error
2750,46093,45785,43808,53488,53555,41436,47995,42362,46072,44876,42424
2774,46093,43808,53488,53555,45785,46072,41436,47995,42424,44876,42362
2819,46093,43808,45785,53488,53555,42362,47995,41436,42424,46072,44876
2896,46093,53512,43808,46170,53555,41436,42362,44876,42424,47995,46072
2952,Error,Error,Error,Error,Error
2974,45785,43808,46093,53488,53555,44876,41436,42362,47995,42424,46072
3049,46167,42419,41246,45339,37101,37213,43302,47838,47806,41293,53496
3073,42419,41246,46167,37101,45339,43302,37213,41293,47838,47806,53496
3097,42419,45339,37101,45321,46120,47838,43302,41293,47806,53496,37213
3119,Error,Error,Error,Error,Error
3143,42419,41246,46167,40138,46120,43302,41293,47838,47806,37213,53496
3165,42419,46120,46167,41246,40138,53496,47806,37213,47838,43302,41293
3189,Error,Error,Error,Error,Error
3263,43324,45185,42363,48097,39212,42883,42474,46092,53444,52590,52603
3329,46093,46170,53555,45594,53512,42424,41436,47995,44876,46072,42362
3351,43808,44123,53488,45785,53555,47995,42424,42362,44876,41436,46072
3375,44123,53488,46140,46170,45594,47995,42362,46072,42424,41436,44876
3458,46093,43808,45785,43663,53555,41436,42424,46072,47995,44876,42362
3573,42419,41246,46120,46167,42429,47806,41293,53496,47838,43302,37213
3602,42419,41246,46120,46167,42429,41293,43302,53496,47806,47838,37213
3665,42419,46120,41246,46167,42429,41293,43302,47806,47838,53496,37213
3716,46120,46167,41246,42419,42429,47806,43302,41293,53496,37213,47838
80,47879,35521,42489,38947,47857,46076,42471,42392,47821,42445,44875
125,42489,52536,35521,47879,47857,47821,42392,42445,42471,46076,44875
149,Error,Error,Error,Error,Error
170,42489,47879,35521,38947,47857,46076,42471,47821,42392,42445,44875
194,52536,38947,47879,42489,47857,42445,46076,42392,47821,42471,44875
223,Error,Error,Error,Error,Error
258,35521,42489,47857,44985,47879,42471,42445,42392,44875,47821,46076
346,Error,Error,Error,Error,Error
370,Error,Error,Error,Error,Error
489,42818,42489,48011,47879,52494,42445,42471,47821,44875,46076,42392
555,42489,47879,44985,52494,53079,42445,44875,42471,47821,42392,46076
610,47879,42489,35521,38947,52494,42392,42445,47821,44875,46076,42471
638,42489,38947,52536,47879,52494,46076,42471,42445,42392,47821,44875
660,42818,35521,52536,38947,47857,42392,42471,42445,47821,46076,44875
729,Error,Error,Error,Error,Error
772,Error,Error,Error,Error,Error
854,Error,Error,Error,Error,Error
887,52536,38947,47879,35521,52494,42471,42445,42392,46076,44875,47821
972,42489,35521,38947,47879,52494,46076,47821,42392,42445,42471,44875
1017,Error,Error,Error,Error,Error
1077,Error,Error,Error,Error,Error
1127,Error,Error,Error,Error,Error
1174,Error,Error,Error,Error,Error
1200,52433,38613,44959,47819,53517,34472,41291,42371,46078,35443,45069
1394,Error,Error,Error,Error,Error
1418,Error,Error,Error,Error,Error
1440,Error,Error,Error,Error,Error
1497,42489,38947,35521,47879,47857,42471,42392,42445,44875,47821,46076
1547,47879,52536,35521,38947,47857,42392,42445,47821,44875,46076,42471
1571,38947,47857,35521,42489,47879,42471,42445,47821,46076,42392,44875
1636,Error,Error,Error,Error,Error
1683,Error,Error,Error,Error,Error
1758,35521,38947,42489,47879,52494,42471,42445,42392,46076,44875,47821
1925,52536,52494,42489,38947,35521,47821,46076,44875,42445,42471,42392
2022,Error,Error,Error,Error,Error
2130,Error,Error,Error,Error,Error
2173,35521,38947,47879,42489,52494,42392,47821,42445,44875,42471,46076
2202,Error,Error,Error,Error,Error
2243,38947,42489,47879,35521,52494,47821,42471,42392,42445,46076,44875
2289,42489,38947,35521,47879,52494,46076,42445,42392,42471,44875,47821
2369,Error,Error,Error,Error,Error
2441,Error,Error,Error,Error,Error
2507,Error,Error,Error,Error,Error
2531,38947,35521,42489,47879,47857,47821,42392,44875,42445,42471,46076
2576,42489,35521,47879,38947,47857,47821,42471,46076,44875,42445,42392
2690,Error,Error,Error,Error,Error
2712,42489,47879,38947,35521,52494,44875,42392,42471,42445,46076,47821
2736,35521,42489,47879,38947,52494,44875,42392,42471,42445,47821,46076
2879,35521,52536,38947,47879,52494,42392,44875,42445,46076,42471,47821
2904,Error,Error,Error,Error,Error
3063,Error,Error,Error,Error,Error
3089,42818,53079,47857,44985,42445,47821,44875,42471,42392,46076,53522
3136,47879,42489,38947,35521,47857,42392,47821,46076,42445,44875,42471
3245,Error,Error,Error,Error,Error
3278,Error,Error,Error,Error,Error
3325,35521,52536,42818,47879,52494,42392,42445,42471,47821,44875,46076
3387,35521,47879,38947,42489,52494,47821,46076,44875,42445,42471,42392
3449,Error,Error,Error,Error,Error
3471,Error,Error,Error,Error,Error
3495,Error,Error,Error,Error,Error
3516,Error,Error,Error,Error,Error
3544,Error,Error,Error,Error,Error
3590,35521,42489,47879,38947,47857,47821,42445,46076,44875,42471,42392
3639,Error,Error,Error,Error,Error
3793,Error,Error,Error,Error,Error
3838,Error,Error,Error,Error,Error
3875,Error,Error,Error,Error,Error
3899,Error,Error,Error,Error,Error
3942,Error,Error,Error,Error,Error
3968,Error,Error,Error,Error,Error
4095,52536,42818,48011,44985,52494,42471,48512,44875,44814,53522,46689
4119,Error,Error,Error,Error,Error
55,Error,Error,Error,Error,Error
